"-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247"
"","","","","7/15/2026","","","2024","","","","","","","","","2025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESTADO","RUBRO","SUB-RUBRO","","DESCRIPCION","LINEA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTIVO","BEBIDAS","GIN","100001","GIN BOSQUE NATIVO BOTELLA 500 ML","MERCH","1"," $  5,543.49 ","0.6%","75.3%","24.7%","0.1%","23.5%","1.2%","0.0%"," $  22,400.00 "," $  5,649.07 ","1.9%","74.8%","25.2%","0.5%","23.5%","1.7%","0.0%"," $  22,400.00 "," $  5,755.48 ","1.9%","75.4%","24.6%","-0.6%","23.5%","1.1%","4.5%"," $  23,400.00 "," $  5,887.38 ","2.3%","74.8%","25.2%","0.6%","23.5%","1.7%","0.0%"," $  23,400.00 "," $  6,020.99 ","2.3%","75.8%","24.2%","-1.0%","23.5%","0.7%","6.4%"," $  24,900.00 "," $  6,102.44 ","1.4%","75.5%","24.5%","0.3%","23.5%","1.0%","0.0%"," $  24,900.00 "," $  6,150.07 ","0.8%","75.3%","24.7%","0.2%","23.5%","1.2%","0.0%"," $  24,900.00 "," $  6,150.07 ","0.0%","75.3%","24.7%","0.0%","23.5%","1.2%","0.0%"," $  24,900.00 "," $  6,306.10 ","2.5%","75.7%","24.3%","-0.4%","23.5%","0.8%","4.0%"," $  25,900.00 "," $  6,318.04 ","0.2%","75.6%","24.4%","0.0%","23.5%","0.9%","0.0%"," $  25,900.00 "," $  7,084.75 ","12.1%","72.6%","27.4%","3.0%","23.5%","3.9%","0.0%"," $  25,900.00 "," $  7,204.57 ","1.7%","72.2%","27.8%","0.5%","23.5%","4.3%","0.0%"," $  25,900.00 "," $  7,279.73 ","1.0%","71.9%","28.1%","0.3%","23.5%","4.6%","0.0%"," $  25,900.00 "," $  6,325.72 ","2.34%","74.55%","25.45%","1.24%"," $  24,858.33 ","23.50%","28.11%","24.18%"," $  7,480.17 ","2.8%","72.5%","27.5%","-0.6%","23.5%","4.0%","5.0%"," $  27,195.00 "," $  7,526.60 ","0.6%","72.3%","27.7%","0.2%","23.5%","4.2%","0.0%"," $  27,195.00 "," $  7,585.72 ","0.8%","72.1%","27.9%","0.2%","23.5%","4.4%","0.0%"," $  27,195.00 "," $  7,755.97 ","2.2%","64.7%","35.3%","7.4%","23.5%","11.8%","-19.1%"," $  22,000.00 "," $  4,188.79 ","-46.0%","81.0%","19.0%","-16.2%","23.5%","-4.5%","0.0%"," $  22,000.00 "," $  4,188.79 ","0.0%","81.0%","19.0%","0.0%","23.5%","-4.5%","0.0%"," $  22,000.00 "," $  4,188.79 ","0.0%","81.0%","19.0%","0.0%","23.5%","-4.5%","0.0%"," $  22,000.00 "," $  4,188.79 ","0.0%","81.0%","19.0%","0.0%","23.5%","-4.5%","0.0%"," $  22,000.00 "," $  4,188.79 ","0.0%","81.0%","19.0%","0.0%","23.5%","-4.5%","0.0%"," $  22,000.00 "," $  4,188.79 ","0.0%","81.0%","19.0%","0.0%","23.5%","-4.5%","0.0%"," $  22,000.00 "," $  4,188.79 ","0.0%","81.0%","19.0%","0.0%","23.5%","-4.5%","0.0%"," $  22,000.00 "," $  4,188.79 ","0.0%","81.0%","19.0%","0.0%","23.5%","-4.5%","0.0%"," $  22,000.00 "," $  5,321.57 ","-3.30%","77.16%","22.84%","-1.18%"," $  23,298.75 ","23.50%","35.25%","19.04%"
"ACTIVO","BEBIDAS","GIN","100002","GIN BOSQUE ALTA MONTAÑA BOTELLA 500 ML","MERCH","1"," $  5,925.79 ","0.6%","82.4%","17.6%","0.1%","18.5%","-0.9%","0.0%"," $  33,600.00 "," $  6,043.65 ","2.0%","82.0%","18.0%","0.4%","18.5%","-0.5%","0.0%"," $  33,600.00 "," $  6,118.28 ","1.2%","82.6%","17.4%","-0.6%","18.5%","-1.1%","4.5%"," $  35,100.00 "," $  6,256.61 ","2.3%","82.2%","17.8%","0.4%","18.5%","-0.7%","0.0%"," $  35,100.00 "," $  6,401.34 ","2.3%","82.9%","17.1%","-0.7%","18.5%","-1.4%","6.4%"," $  37,350.00 "," $  6,492.61 ","1.4%","82.6%","17.4%","0.2%","18.5%","-1.1%","0.0%"," $  37,350.00 "," $  6,543.63 ","0.8%","82.5%","17.5%","0.1%","18.5%","-1.0%","0.0%"," $  37,350.00 "," $  6,543.63 ","0.0%","82.5%","17.5%","0.0%","18.5%","-1.0%","0.0%"," $  37,350.00 "," $  6,718.36 ","2.7%","82.7%","17.3%","-0.2%","18.5%","-1.2%","4.0%"," $  38,850.00 "," $  6,730.70 ","0.2%","82.7%","17.3%","0.0%","18.5%","-1.2%","0.0%"," $  38,850.00 "," $  7,466.48 ","10.9%","80.8%","19.2%","1.9%","18.5%","0.7%","0.0%"," $  38,850.00 "," $  7,730.74 ","3.5%","80.1%","19.9%","0.7%","18.5%","1.4%","0.0%"," $  38,850.00 "," $  7,850.51 ","1.5%","79.8%","20.2%","0.3%","18.5%","1.7%","0.0%"," $  38,850.00 "," $  6,741.38 ","2.41%","81.92%","18.08%","1.24%"," $  37,287.50 ","18.50%","20.21%","17.14%"," $  8,058.57 ","2.7%","80.2%","19.8%","-0.5%","18.5%","1.3%","5.0%"," $  40,792.50 "," $  8,105.00 ","0.6%","80.1%","19.9%","0.1%","18.5%","1.4%","0.0%"," $  40,792.50 "," $  8,164.04 ","0.7%","80.0%","20.0%","0.1%","18.5%","1.5%","0.0%"," $  40,792.50 "," $  8,340.51 ","2.2%","70.8%","29.2%","9.1%","18.5%","10.7%","-29.9%"," $  28,600.00 "," $  4,188.79 ","-49.8%","85.4%","14.6%","-14.5%","18.5%","-3.9%","0.0%"," $  28,600.00 "," $  4,188.79 ","0.0%","85.4%","14.6%","0.0%","18.5%","-3.9%","0.0%"," $  28,600.00 "," $  4,188.79 ","0.0%","85.4%","14.6%","0.0%","18.5%","-3.9%","0.0%"," $  28,600.00 "," $  4,188.79 ","0.0%","85.4%","14.6%","0.0%","18.5%","-3.9%","0.0%"," $  28,600.00 "," $  4,188.79 ","0.0%","85.4%","14.6%","0.0%","18.5%","-3.9%","0.0%"," $  28,600.00 "," $  4,188.79 ","0.0%","85.4%","14.6%","0.0%","18.5%","-3.9%","0.0%"," $  28,600.00 "," $  4,188.79 ","0.0%","85.4%","14.6%","0.0%","18.5%","-3.9%","0.0%"," $  28,600.00 "," $  4,188.79 ","0.0%","85.4%","14.6%","0.0%","18.5%","-3.9%","0.0%"," $  28,600.00 "," $  5,514.87 ","-3.64%","82.57%","17.43%","-2.07%"," $  31,648.13 ","18.50%","29.16%","14.65%"
"ACTIVO","BEBIDAS","GIN","100003","GIN BOSQUE REFUGIOS BOTELLA 500 ML","MERCH","1"," $  9,448.43 ","0.7%","78.9%","21.1%","0.1%","22.5%","-1.4%","0.0%"," $  44,800.00 "," $  9,540.67 ","1.0%","78.7%","21.3%","0.2%","22.5%","-1.2%","0.0%"," $  44,800.00 "," $  9,647.82 ","1.1%","79.4%","20.6%","-0.7%","22.5%","-1.9%","4.5%"," $  46,800.00 "," $  9,904.54 ","2.7%","78.8%","21.2%","0.5%","22.5%","-1.3%","0.0%"," $  46,800.00 "," $  10,166.09 ","2.6%","79.6%","20.4%","-0.7%","22.5%","-2.1%","6.4%"," $  49,800.00 "," $  10,681.32 ","5.1%","78.6%","21.4%","1.0%","22.5%","-1.1%","0.0%"," $  49,800.00 "," $  10,818.12 ","1.3%","78.3%","21.7%","0.3%","22.5%","-0.8%","0.0%"," $  49,800.00 "," $  10,818.12 ","0.0%","78.3%","21.7%","0.0%","22.5%","-0.8%","0.0%"," $  49,800.00 "," $  11,043.45 ","2.1%","78.7%","21.3%","-0.4%","22.5%","-1.2%","4.0%"," $  51,800.00 "," $  11,123.59 ","0.7%","78.5%","21.5%","0.2%","22.5%","-1.0%","0.0%"," $  51,800.00 "," $  10,354.84 ","-6.9%","80.0%","20.0%","-1.5%","22.5%","-2.5%","0.0%"," $  51,800.00 "," $  10,354.84 ","0.0%","80.0%","20.0%","0.0%","22.5%","-2.5%","0.0%"," $  51,800.00 "," $  10,423.27 ","0.7%","79.9%","20.1%","0.1%","22.5%","-2.4%","0.0%"," $  51,800.00 "," $  10,406.39 ","0.86%","79.07%","20.93%","1.24%"," $  49,716.67 ","22.50%","21.72%","19.99%"," $  10,706.97 ","2.7%","80.3%","19.7%","-0.4%","22.5%","-2.8%","5.0%"," $  54,390.00 "," $  10,618.30 ","-0.8%","80.5%","19.5%","-0.2%","22.5%","-3.0%","0.0%"," $  54,390.00 "," $  10,831.12 ","2.0%","80.1%","19.9%","0.4%","22.5%","-2.6%","0.0%"," $  54,390.00 "," $  11,045.34 ","2.0%","74.9%","25.1%","5.2%","22.5%","2.6%","-19.1%"," $  44,000.00 "," $  10,301.61 ","-6.7%","76.6%","23.4%","-1.7%","22.5%","0.9%","0.0%"," $  44,000.00 "," $  10,796.08 ","4.8%","75.5%","24.5%","1.1%","22.5%","2.0%","0.0%"," $  44,000.00 "," $  10,796.08 ","0.0%","75.5%","24.5%","0.0%","22.5%","2.0%","0.0%"," $  44,000.00 "," $  10,796.08 ","0.0%","75.5%","24.5%","0.0%","22.5%","2.0%","0.0%"," $  44,000.00 "," $  10,796.08 ","0.0%","75.5%","24.5%","0.0%","22.5%","2.0%","0.0%"," $  44,000.00 "," $  10,796.08 ","0.0%","75.5%","24.5%","0.0%","22.5%","2.0%","0.0%"," $  44,000.00 "," $  10,796.08 ","0.0%","75.5%","24.5%","0.0%","22.5%","2.0%","0.0%"," $  44,000.00 "," $  10,796.08 ","0.0%","75.5%","24.5%","0.0%","22.5%","2.0%","0.0%"," $  44,000.00 "," $  10,756.32 ","0.33%","76.92%","23.08%","-1.18%"," $  46,597.50 ","22.50%","25.10%","19.52%"
"ACTIVO","BEBIDAS","GIN","100014","GIN BOSQUE NATIVO BOTELLA 750 ML","MERCH","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""," $  9,680.06 ","0.0%","72.4%","27.6%","27.6%","23.5%","4.1%","0.0%"," $  35,100.00 "," $  9,952.60 ","2.8%","73.4%","26.6%","-0.9%","23.5%","3.1%","6.4%"," $  37,350.00 "," $  9,479.73 ","-4.8%","74.6%","25.4%","-1.3%","23.5%","1.9%","0.0%"," $  37,350.00 "," $  9,717.87 ","2.5%","74.0%","26.0%","0.6%","23.5%","2.5%","0.0%"," $  37,350.00 "," $  9,717.87 ","0.0%","74.0%","26.0%","0.0%","23.5%","2.5%","0.0%"," $  37,350.00 "," $  10,328.19 ","6.3%","73.4%","26.6%","0.6%","23.5%","3.1%","4.0%"," $  38,850.00 "," $  10,673.81 ","3.3%","72.5%","27.5%","0.9%","23.5%","4.0%","0.0%"," $  38,850.00 "," $  11,067.49 ","3.7%","71.5%","28.5%","1.0%","23.5%","5.0%","0.0%"," $  38,850.00 "," $  11,067.49 ","0.0%","71.5%","28.5%","0.0%","23.5%","5.0%","0.0%"," $  38,850.00 "," $  11,037.59 ","-0.3%","71.6%","28.4%","-0.1%","23.5%","4.9%","0.0%"," $  38,850.00 "," $  10,272.27 ","1.36%","72.88%","27.12%","1.04%"," $  37,875.00 ","23.50%","28.49%","25.38%"," $  11,200.08 ","1.5%","72.5%","27.5%","-1.0%","23.5%","4.0%","5.0%"," $  40,792.50 "," $  10,995.26 ","-1.8%","73.0%","27.0%","-0.5%","23.5%","3.5%","0.0%"," $  40,792.50 "," $  10,966.61 ","-0.3%","73.1%","26.9%","-0.1%","23.5%","3.4%","0.0%"," $  40,792.50 "," $  11,090.34 ","1.1%","72.8%","27.2%","0.3%","23.5%","3.7%","0.0%"," $  40,792.50 "," $  9,307.91 ","-16.1%","77.2%","22.8%","-4.4%","23.5%","-0.7%","0.0%"," $  40,792.50 "," $  9,628.69 ","3.4%","76.4%","23.6%","0.8%","23.5%","0.1%","0.0%"," $  40,792.50 "," $  9,628.69 ","0.0%","76.4%","23.6%","0.0%","23.5%","0.1%","0.0%"," $  40,792.50 "," $  9,628.69 ","0.0%","76.4%","23.6%","0.0%","23.5%","0.1%","0.0%"," $  40,792.50 "," $  9,628.69 ","0.0%","76.4%","23.6%","0.0%","23.5%","0.1%","0.0%"," $  40,792.50 "," $  9,628.69 ","0.0%","76.4%","23.6%","0.0%","23.5%","0.1%","0.0%"," $  40,792.50 "," $  9,628.69 ","0.0%","76.4%","23.6%","0.0%","23.5%","0.1%","0.0%"," $  40,792.50 "," $  9,628.69 ","0.0%","76.4%","23.6%","0.0%","23.5%","0.1%","0.0%"," $  40,792.50 "," $  10,080.09 ","-1.01%","75.29%","24.71%","0.42%"," $  40,792.50 ","23.50%","27.46%","22.82%"
"ACTIVO","BEBIDAS","GIN","100015","GIN BOSQUE ALTA MONTAÑA BOTELLA 750 ML","MERCH","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""," $  10,253.01 ","0.0%","80.5%","19.5%","19.5%","18.5%","1.0%","0.0%"," $  52,650.00 "," $  10,542.15 ","2.8%","81.2%","18.8%","-0.7%","18.5%","0.3%","6.4%"," $  56,025.00 "," $  10,083.72 ","-4.3%","82.0%","18.0%","-0.8%","18.5%","-0.5%","0.0%"," $  56,025.00 "," $  10,326.95 ","2.4%","81.6%","18.4%","0.4%","18.5%","-0.1%","0.0%"," $  56,025.00 "," $  10,326.95 ","0.0%","81.6%","18.4%","0.0%","18.5%","-0.1%","0.0%"," $  56,025.00 "," $  10,965.32 ","6.2%","81.2%","18.8%","0.4%","18.5%","0.3%","4.0%"," $  58,275.00 "," $  11,296.16 ","3.0%","80.6%","19.4%","0.6%","18.5%","0.9%","0.0%"," $  58,275.00 "," $  11,711.60 ","3.7%","79.9%","20.1%","0.7%","18.5%","1.6%","0.0%"," $  58,275.00 "," $  11,711.60 ","0.0%","79.9%","20.1%","0.0%","18.5%","1.6%","0.0%"," $  58,275.00 "," $  11,702.99 ","-0.1%","79.9%","20.1%","0.0%","18.5%","1.6%","0.0%"," $  58,275.00 "," $  10,892.05 ","1.37%","80.83%","19.17%","1.04%"," $  56,812.50 ","18.50%","20.10%","18.00%"," $  11,869.30 ","1.4%","80.6%","19.4%","-0.7%","18.5%","0.9%","5.0%"," $  61,188.75 "," $  11,669.64 ","-1.7%","80.9%","19.1%","-0.3%","18.5%","0.6%","0.0%"," $  61,188.75 "," $  11,640.88 ","-0.2%","81.0%","19.0%","0.0%","18.5%","0.5%","0.0%"," $  61,188.75 "," $  11,775.17 ","1.2%","80.8%","19.2%","0.2%","18.5%","0.7%","0.0%"," $  61,188.75 "," $  9,996.96 ","-15.1%","83.7%","16.3%","-2.9%","18.5%","-2.2%","0.0%"," $  61,188.75 "," $  10,335.28 ","3.4%","83.1%","16.9%","0.6%","18.5%","-1.6%","0.0%"," $  61,188.75 "," $  10,335.28 ","0.0%","83.1%","16.9%","0.0%","18.5%","-1.6%","0.0%"," $  61,188.75 "," $  10,335.28 ","0.0%","83.1%","16.9%","0.0%","18.5%","-1.6%","0.0%"," $  61,188.75 "," $  10,335.28 ","0.0%","83.1%","16.9%","0.0%","18.5%","-1.6%","0.0%"," $  61,188.75 "," $  10,335.28 ","0.0%","83.1%","16.9%","0.0%","18.5%","-1.6%","0.0%"," $  61,188.75 "," $  10,335.28 ","0.0%","83.1%","16.9%","0.0%","18.5%","-1.6%","0.0%"," $  61,188.75 "," $  10,335.28 ","0.0%","83.1%","16.9%","0.0%","18.5%","-1.6%","0.0%"," $  61,188.75 "," $  10,774.91 ","-0.92%","82.39%","17.61%","0.42%"," $  61,188.75 ","18.50%","19.40%","16.34%"
"ACTIVO","BEBIDAS","GIN","100016","GIN BOSQUE REFUGIOS BOTELLA 750 ML","MERCH","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""," $  14,024.58 ","0.0%","80.0%","20.0%","20.0%","22.5%","-2.5%","0.0%"," $  70,200.00 "," $  14,418.89 ","2.8%","80.7%","19.3%","-0.7%","22.5%","-3.2%","6.4%"," $  74,700.00 "," $  14,707.29 ","2.0%","80.3%","19.7%","0.4%","22.5%","-2.8%","0.0%"," $  74,700.00 "," $  15,411.44 ","4.8%","79.4%","20.6%","0.9%","22.5%","-1.9%","0.0%"," $  74,700.00 "," $  15,411.44 ","0.0%","79.4%","20.6%","0.0%","22.5%","-1.9%","0.0%"," $  74,700.00 "," $  16,216.44 ","5.2%","79.1%","20.9%","0.2%","22.5%","-1.6%","4.0%"," $  77,700.00 "," $  16,660.79 ","2.7%","78.6%","21.4%","0.6%","22.5%","-1.1%","0.0%"," $  77,700.00 "," $  17,009.67 ","2.1%","78.1%","21.9%","0.4%","22.5%","-0.6%","0.0%"," $  77,700.00 "," $  17,009.67 ","0.0%","78.1%","21.9%","0.0%","22.5%","-0.6%","0.0%"," $  77,700.00 "," $  16,917.50 ","-0.5%","78.2%","21.8%","-0.1%","22.5%","-0.7%","0.0%"," $  77,700.00 "," $  15,778.77 ","1.91%","79.17%","20.83%","1.04%"," $  75,750.00 ","22.50%","21.89%","19.30%"," $  17,224.49 ","1.8%","78.9%","21.1%","-0.7%","22.5%","-1.4%","5.0%"," $  81,585.00 "," $  16,902.88 ","-1.9%","79.3%","20.7%","-0.4%","22.5%","-1.8%","0.0%"," $  81,585.00 "," $  16,853.00 ","-0.3%","79.3%","20.7%","-0.1%","22.5%","-1.8%","0.0%"," $  81,585.00 "," $  17,088.96 ","1.4%","79.1%","20.9%","0.3%","22.5%","-1.6%","0.0%"," $  81,585.00 "," $  15,319.55 ","-10.4%","81.2%","18.8%","-2.2%","22.5%","-3.7%","0.0%"," $  81,585.00 "," $  15,731.89 ","2.7%","80.7%","19.3%","0.5%","22.5%","-3.2%","0.0%"," $  81,585.00 "," $  15,731.89 ","0.0%","80.7%","19.3%","0.0%","22.5%","-3.2%","0.0%"," $  81,585.00 "," $  15,731.89 ","0.0%","80.7%","19.3%","0.0%","22.5%","-3.2%","0.0%"," $  81,585.00 "," $  15,731.89 ","0.0%","80.7%","19.3%","0.0%","22.5%","-3.2%","0.0%"," $  81,585.00 "," $  15,731.89 ","0.0%","80.7%","19.3%","0.0%","22.5%","-3.2%","0.0%"," $  81,585.00 "," $  15,731.89 ","0.0%","80.7%","19.3%","0.0%","22.5%","-3.2%","0.0%"," $  81,585.00 "," $  15,731.89 ","0.0%","80.7%","19.3%","0.0%","22.5%","-3.2%","0.0%"," $  81,585.00 "," $  16,126.01 ","-0.55%","80.23%","19.77%","0.42%"," $  81,585.00 ","22.50%","21.11%","18.78%"
"ACTIVO","BEBIDAS","VERMUT","100017","FERIADO ROJO VERMÚ GRANEL LITRO 20 LTS","MERCH","1"," $  2,683.87 ","","88.7%","11.3%","0.6%","29.0%","-17.7%","0.0%"," $  23,822.22 "," $  1,912.44 ","-28.7%","92.5%","7.5%","-3.8%","29.0%","-21.5%","7.5%"," $  25,600.00 "," $  1,920.87 ","0.4%","92.5%","7.5%","0.0%","29.0%","-21.5%","0.0%"," $  25,600.00 "," $  1,997.54 ","4.0%","92.2%","7.8%","0.3%","29.0%","-21.2%","0.0%"," $  25,600.00 "," $  3,193.19 ","59.9%","83.3%","16.7%","8.9%","29.0%","-12.3%","-25.5%"," $  19,080.00 "," $  3,262.41 ","2.2%","82.9%","17.1%","0.4%","29.0%","-11.9%","0.0%"," $  19,080.00 "," $  3,270.26 ","0.2%","82.9%","17.1%","0.0%","29.0%","-11.9%","0.0%"," $  19,080.00 "," $  3,270.26 ","0.0%","82.9%","17.1%","0.0%","29.0%","-11.9%","0.0%"," $  19,080.00 "," $  3,408.44 ","4.2%","82.9%","17.1%","0.0%","29.0%","-11.9%","4.4%"," $  19,920.00 "," $  3,414.85 ","0.2%","82.9%","17.1%","0.0%","29.0%","-11.9%","0.0%"," $  19,920.00 "," $  3,510.30 ","2.8%","82.4%","17.6%","0.5%","29.0%","-11.4%","0.0%"," $  19,920.00 "," $  3,510.30 ","0.0%","82.4%","17.6%","0.0%","29.0%","-11.4%","0.0%"," $  19,920.00 "," $  3,511.52 ","0.0%","82.4%","17.6%","0.0%","29.0%","-11.4%","0.0%"," $  19,920.00 "," $  3,015.20 ","3.77%","85.68%","14.32%","-1.13%"," $  21,060.00 ","29.00%","17.63%","7.47%"," $  3,528.44 ","0.5%","83.1%","16.9%","-0.8%","29.0%","-12.1%","5.0%"," $  20,916.00 "," $  3,757.34 ","6.5%","82.0%","18.0%","1.1%","29.0%","-11.0%","0.0%"," $  20,916.00 "," $  3,778.63 ","0.6%","81.9%","18.1%","0.1%","29.0%","-10.9%","0.0%"," $  20,916.00 "," $  3,878.64 ","2.6%","81.5%","18.5%","0.5%","29.0%","-10.5%","0.0%"," $  20,916.00 "," $  3,562.91 ","-8.1%","83.0%","17.0%","-1.5%","29.0%","-12.0%","0.0%"," $  20,916.00 "," $  4,428.86 ","24.3%","78.8%","21.2%","4.1%","29.0%","-7.8%","0.0%"," $  20,916.00 "," $  4,428.86 ","0.0%","78.8%","21.2%","0.0%","29.0%","-7.8%","0.0%"," $  20,916.00 "," $  4,428.86 ","0.0%","78.8%","21.2%","0.0%","29.0%","-7.8%","0.0%"," $  20,916.00 "," $  4,428.86 ","0.0%","78.8%","21.2%","0.0%","29.0%","-7.8%","0.0%"," $  20,916.00 "," $  4,428.86 ","0.0%","78.8%","21.2%","0.0%","29.0%","-7.8%","0.0%"," $  20,916.00 "," $  4,428.86 ","0.0%","78.8%","21.2%","0.0%","29.0%","-7.8%","0.0%"," $  20,916.00 "," $  4,428.86 ","0.0%","78.8%","21.2%","0.0%","29.0%","-7.8%","0.0%"," $  20,916.00 "," $  4,125.66 ","2.20%","80.28%","19.72%","0.42%"," $  20,916.00 ","29.00%","21.17%","16.87%"
"ACTIVO","BEBIDAS","VERMUT","100013","FERIADO ROJO VERMÚ GRANEL LITRO 50 LTS","MERCH","1"," $  2,683.87 ","","85.0%","15.0%","0.6%","29.0%","-14.0%","0.0%"," $  17,866.67 "," $  2,842.76 ","5.9%","85.2%","14.8%","-0.2%","29.0%","-14.2%","7.5%"," $  19,200.00 "," $  2,898.41 ","2.0%","84.9%","15.1%","0.3%","29.0%","-13.9%","0.0%"," $  19,200.00 "," $  2,964.80 ","2.3%","84.6%","15.4%","0.3%","29.0%","-13.6%","0.0%"," $  19,200.00 "," $  3,193.19 ","7.7%","83.3%","16.7%","1.3%","29.0%","-12.3%","-0.6%"," $  19,080.00 "," $  3,262.41 ","2.2%","82.9%","17.1%","0.4%","29.0%","-11.9%","0.0%"," $  19,080.00 "," $  3,270.26 ","0.2%","82.9%","17.1%","0.0%","29.0%","-11.9%","0.0%"," $  19,080.00 "," $  3,270.26 ","0.0%","82.9%","17.1%","0.0%","29.0%","-11.9%","0.0%"," $  19,080.00 "," $  3,408.44 ","4.2%","82.9%","17.1%","0.0%","29.0%","-11.9%","4.4%"," $  19,920.00 "," $  3,414.85 ","0.2%","82.9%","17.1%","0.0%","29.0%","-11.9%","0.0%"," $  19,920.00 "," $  3,510.30 ","2.8%","82.4%","17.6%","0.5%","29.0%","-11.4%","0.0%"," $  19,920.00 "," $  3,510.30 ","0.0%","82.4%","17.6%","0.0%","29.0%","-11.4%","0.0%"," $  19,920.00 "," $  3,511.52 ","0.0%","82.4%","17.6%","0.0%","29.0%","-11.4%","0.0%"," $  19,920.00 "," $  3,254.79 ","2.29%","83.27%","16.73%","0.94%"," $  19,460.00 ","29.00%","17.63%","14.81%"," $  3,528.44 ","0.5%","83.1%","16.9%","-0.8%","29.0%","-12.1%","5.0%"," $  20,916.00 "," $  3,757.34 ","6.5%","82.0%","18.0%","1.1%","29.0%","-11.0%","0.0%"," $  20,916.00 "," $  3,778.63 ","0.6%","81.9%","18.1%","0.1%","29.0%","-10.9%","0.0%"," $  20,916.00 "," $  3,878.64 ","2.6%","81.5%","18.5%","0.5%","29.0%","-10.5%","0.0%"," $  20,916.00 "," $  3,562.91 ","-8.1%","83.0%","17.0%","-1.5%","29.0%","-12.0%","0.0%"," $  20,916.00 "," $  4,428.86 ","24.3%","78.8%","21.2%","4.1%","29.0%","-7.8%","0.0%"," $  20,916.00 "," $  4,428.86 ","0.0%","78.8%","21.2%","0.0%","29.0%","-7.8%","0.0%"," $  20,916.00 "," $  4,428.86 ","0.0%","78.8%","21.2%","0.0%","29.0%","-7.8%","0.0%"," $  20,916.00 "," $  4,428.86 ","0.0%","78.8%","21.2%","0.0%","29.0%","-7.8%","0.0%"," $  20,916.00 "," $  4,428.86 ","0.0%","78.8%","21.2%","0.0%","29.0%","-7.8%","0.0%"," $  20,916.00 "," $  4,428.86 ","0.0%","78.8%","21.2%","0.0%","29.0%","-7.8%","0.0%"," $  20,916.00 "," $  4,428.86 ","0.0%","78.8%","21.2%","0.0%","29.0%","-7.8%","0.0%"," $  20,916.00 "," $  4,125.66 ","2.20%","80.28%","19.72%","0.42%"," $  20,916.00 ","29.00%","21.17%","16.87%"
