"","","","","","","","","","5,00%","2,00%","","","","","20%","","","20%","","","","","","","","",""
"RESUMEN LITROS BARRIL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wolf Ipa ","","10.750","25,9%"," $1.747,20"," $3.815,81","54,2%","14,0%","0%","0,0%"," $1.772,50","1,4%"," $3.815,81","53,5%","13,85%"," $1.772,50"," $3.052,64","41,9%","10,85%"," $3.663,17","51,6%","13,35%","","","","","",""
"Golden ","","14.200","34,2%"," $1.093,10"," $2.493,49","56,2%","19,2%","0%","0,0%"," $1.136,94","4,0%"," $2.493,49","54,4%","18,59%"," $1.136,94"," $1.994,79","43,0%","14,70%"," $2.393,75","52,5%","17,94%","","","","","",""
"Organic Honey ","","6.800","16,4%"," $1.198,00"," $2.581,87","53,6%","8,8%","0%","0,0%"," $1.261,05","5,3%"," $2.581,87","51,2%","8,37%"," $1.261,05"," $2.065,49","38,9%","6,37%"," $2.478,59","49,1%","8,04%","","","","","",""
"Scottish ","","5.550","13,4%"," $1.191,80"," $2.581,87","53,8%","7,2%","0%","0,0%"," $1.209,70","1,5%"," $2.581,87","53,1%","7,10%"," $1.209,70"," $2.065,49","41,4%","5,53%"," $2.478,59","51,2%","6,84%","","","","","",""
"Black Stout FILI","","1.693","4,1%"," $1.858,48"," $3.379,05","45,0%","1,8%","0%","0,0%"," $1.858,48","0,0%"," $3.379,05","45,0%","1,83%"," $1.858,48"," $2.703,24","31,3%","1,27%"," $3.243,89","42,7%","1,74%","","","","","",""
"Flow Apa FILI","","1.360","3,3%"," $2.258,06"," $4.105,56","45,0%","1,5%","0%","0,0%"," $2.258,06","0,0%"," $4.105,56","45,0%","1,47%"," $2.258,06"," $3.284,45","31,3%","1,02%"," $3.941,34","42,7%","1,40%","","","","","",""
"Cosmica ","","1.200","2,9%"," $2.728,30"," $4.197,38","35,0%","1,0%","0%","0,0%"," $2.728,30","0,0%"," $4.197,38","35,0%","1,01%"," $2.728,30"," $3.357,90","18,7%","0,54%"," $4.029,48","32,3%","0,93%","","","","","",""
"","","41.553","100%"," $1.724,99"," $3.307,86","49,0%","53%","0%","0"," $1.746,43","12%"," $3.307,86","48,2%","52%"," $1.746,43"," $2.646,29","35,2%","40%"," $3.175,54","46,0%","50%","","","","","",""
